title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
陈翔六点半：听土叔一句劝，虚拟的东西你把握不住,陈翔六点半,2021-05-19 18:05:35,40.7,932弹幕,短片&搞笑&影视&陈翔六点半&家庭&奇葩&生活&反转&高能&情感&套路&闺蜜,3.3万,3514,866,1309,https://b23.tv/BV1144y1r7A8
朱元璋一脚把石板踩碎，本以为是天生神力，怎料竟是豆腐渣工程！,爱看剧的肥宅,2021-05-19 18:56:48,62.2,300弹幕,影视剪辑&影视&古装&电视剧&经典,1.5万,83,614,42,https://b23.tv/BV1JU4y1b7Fi
善良的人，运气永远都不会差，这只猫太治愈了。 %治愈,彳亍CS,2021-05-16 13:18:41,55.3,66弹幕,必剪创作&影视&影视剪辑&猫&暖心&感人&感动&温暖&打卡挑战,5.8万,441,9393,560,https://b23.tv/BV1vq4y1774C
【大聪】两万字《速度与激情》系列8+1部回顾解析！一次看懂速激宇宙，无缝连接《速度与激情9》,大聪看电影,2021-05-20 23:46:12,25.0,3373弹幕,赛车&影视&影视杂谈&速9发车燃爽一夏&速度与激情&保罗沃克&动作片&速度与激情7&飙车&范迪塞尔&速度与激情9,2.0万,1.0万,6073,2135,https://b23.tv/BV1sq4y1E7nh
村民挖出坐化高僧，他不但复活了，还想破戒？《木乃伊之恋》,宋先森影剧,2021-05-19 20:03:23,55.7,368弹幕,恐怖片&影评&电影解说&影视&影视杂谈&悬疑&惊悚&电影&诡异&灵异&恐怖&影评杂谈&木乃伊,7502,167,1171,71,https://b23.tv/BV1Hy4y1W7Ym
片酬208块，刘备馋到偷玉米，三国演义剧组为啥这么抠？,幕春秋,2021-05-19 13:38:30,39.2,1375弹幕,刘备&关羽&三国演义&影视&影视杂谈&电视剧&经典&三国&影评杂谈&张飞,2.0万,2294,3015,741,https://b23.tv/BV1db4y1f7wj
吐槽《速度与激情9》开挂主角大战智障反派,轩邈Elias,2021-05-21 20:29:49,33.6,1295弹幕,赛车&汽车&搞笑&影视&影视杂谈&五月哔刷片·五月新片&电影&速度与激情&吐槽&约翰塞纳&范迪塞尔&速度与激情9,2.5万,1801,1661,3349,https://b23.tv/BV1UB4y1F73T
年度最拉胯烂剧？我从来没见过这么炸裂的演技！【遇龙】,三代鹿人,2021-05-17 10:30:18,204.2,2.2万弹幕,王鹤棣&搞笑&影视&影视杂谈&五月哔刷片·高甜520&遇龙&古装&逆袭之星途闪耀&爱情&吐槽&烂片&祝绪丹,18.9万,3.2万,1.1万,8305,https://b23.tv/BV1N44y1r714
农村小伙自制原创《五郎八卦棍》第一段,朱仙影视,2021-05-19 17:30:16,24.7,368弹幕,功夫&短片&影视&武术&原创&自制&动作&中国功夫&五郎八卦棍&传统武术,2.1万,9405,2197,252,https://b23.tv/BV19K4y1A7qM
世界罕见病例折叠人，身体弯曲180度，脸和大腿距离2公分，纪录片,女他放映室,2021-05-18 19:00:41,41.5,1297弹幕,影视&影视杂谈&情感&亲情&纪录片&折叠人&生命缘&真实,1.5万,2525,1590,1170,https://b23.tv/BV18f4y1Y7Xp
