title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
【大家测】 HUAWEI MateView GT 34寸曲面显示器开箱体验 | 华为Mate家族又添一员售价3599,大家测,2021-05-19 17:15:26,18.1,2207弹幕,数码&电脑装机&华为&科技美学&MateView GT&曲面显示器&那岩&大家测&华为显示器,5425,446,451,866,https://b23.tv/BV1RA411G7Be
我卸载了夸克，装上了这款浏览器,蓝胖子咕咕,2021-05-15 20:33:08,131.9,4093弹幕,黑科技&电脑&手机&野生技术协会&技术宅&数码&手机平板&浏览器&APP&体验&夸克,4.5万,1.2万,3.9万,1333,https://b23.tv/BV1XK4y1d7Tu
你可能没意识到，我们正在见证历史 索尼Xperia 1 III用后感【时代玩家】,时代玩家,2021-05-21 10:00:14,10.8,1418弹幕,手机评测&黑科技&手机&数码&手机平板&数码玩家训练营5.0&测评&索尼&索尼Xperia 1 III&索尼手机&时代玩家,6314,3475,1652,713,https://b23.tv/BV1r64y1d7fs
iPad上学会这三个软件，你或许能受益一生,缸缸在干嘛,2021-05-19 17:30:16,7.4,497弹幕,IPAD&数码&手机平板&2021高考季&IOS&学习&平板&苹果&教程&自律&IPADPRO,4911,2619,3997,159,https://b23.tv/BV1e64y1d7rs
【华为全场景产品】首发开箱！比阿华快的肯定没阿华产品全！,华为终端,2021-05-19 16:47:11,12.9,1149弹幕,手机评测&手机&开箱&数码&影音智能&智能生活大作战&PC&笔记本电脑&耳机&华为&智慧屏&显示器&电视,6973,1015,852,820,https://b23.tv/BV1pK4y1G7CW
手机有后坐 打枪更快乐,马鹿blyat,2021-05-14 20:03:14,193.2,1044弹幕,手机&吃鸡&必剪创作&搞笑&数码&手机平板&数码玩家训练营4.0&安卓&红米&打卡挑战,6.9万,8403,9584,9937,https://b23.tv/BV1bb4y1f74N
「冷饭」诺基亚N9/ 刚出生就被抛弃的先驱,花生説&冷饭説,2021-05-20 19:30:11,8.4,1574弹幕,手机&数码&手机平板&测评&诺基亚&自制&塞班&meego,8300,4359,1436,208,https://b23.tv/BV1NU4y1L767
中正评测：这是轻薄本还是游戏本？小新Pro16 R7-5800H/GTX1650，5999元,中正评测,2021-05-19 22:24:27,14.2,1011弹幕,数码&电脑装机&MX450&R7-5800H&R5-5600H&Y9000P&Pro16&小新&中正评测&Y9000K&GTX1650&RTX3050,5816,1077,405,370,https://b23.tv/BV1Nv411L7LB
【亦】安卓手机用到第五年是啥体验？,林亦LYi,2021-05-21 20:00:00,11.5,907弹幕,数码&手机平板&数码玩家训练营5.0&安卓&体验&一加&旧手机&OnePlus&一加五,6965,1910,990,232,https://b23.tv/BV1WQ4y1R7pB
1万块钱买个最美家具？2021 iMac上手体验,影视飓风,2021-05-18 21:00:14,46.4,2448弹幕,影音设备&电脑&开箱&数码&影音智能&科技&苹果&测评&苹果电脑&MACBOOK&智能家居,2.8万,6019,2646,1298,https://b23.tv/BV1Yy4y1W7W7
