title,author,pubdate,play_volume,barrage,classification,likes,coins,collect,share,url
亡 牌 坦 克 驾 驶 员,Allen火花,2021-05-19 18:40:08,46.9,1303弹幕,小游戏&游戏&单机游戏&游戏心动时刻&童年回忆杀&单机&童年&坦克&4399&坦克大战,3.4万,2504,5304,828,https://b23.tv/BV1B64y1d7zx
《青莲兰陵》把兰陵王隐身运用极致，将会变成“恐怖游戏”！！！,王者荣耀青莲,2021-05-17 17:45:49,161.8,1613弹幕,王者荣耀&游戏&电子竞技&游戏轻教学&游戏视频&兰陵王&教学视频&细节&青莲,13.7万,2.3万,9782,2369,https://b23.tv/BV1Cf4y1Y7iC
“萝丝和她那平凡的父亲”,盒子酸奶,2021-05-21 17:15:33,35.3,1937弹幕,配音&搞笑&单机游戏&游戏&沙雕剧场&沙雕之主&生化危机&高能&日常&卡普空&沙雕&生化危机8,3.9万,8114,5039,307,https://b23.tv/BV1Zv41157tW
【不止游戏】电影和游戏中 弩的实际威力究竟有多大？,森纳映画,2021-05-21 17:20:13,35.5,2110弹幕,使命召唤&绝地求生&单机游戏&游戏&游戏知识分享官&游戏视频&弩&不止游戏&猎杀对决,3.5万,7861,5546,345,https://b23.tv/BV1MU4y1L7Ge
新赛季孙策前期如何稳定单杀？对线司空震又应该怎么处理？,迷茫小树叶,2021-05-20 10:00:00,32.0,1115弹幕,大乔&孙策&王者荣耀&搞笑&游戏&电子竞技&游戏知识分享官&教学&树叶&国服最强,4.4万,9973,3524,633,https://b23.tv/BV1mV411j7Co
德丽莎出可莉皮肤！菲谢尔免费获得！刀波刻晴限时体验！【崩坏3单向联动原神！】,游戏彩笔,2021-05-21 02:30:21,57.7,2506弹幕,崩坏3&游戏&手机游戏&游戏彩笔,2.1万,914,2332,6136,https://b23.tv/BV1u84y1F7M1
这就是将收割打到极致的刺客守约！！！,花泽不是厨师,2021-05-21 21:26:00,33.8,537弹幕,百里守约&王者荣耀&游戏&电子竞技&花泽不是厨师&瞬狙&青莲&花泽&王者荣耀百里守约&守约&打卡挑战,3.7万,9015,4530,948,https://b23.tv/BV1vy4y1W711
看完这诺克我直接狂饮一桶茶！,熙狗Game,2021-05-19 08:00:12,83.0,538弹幕,英雄联盟&搞笑&单机游戏&游戏&电子竞技&沙雕名场面&沙雕之主&日常&游戏视频&网络游戏&LOL&游戏头号玩家,5.3万,4946,1316,818,https://b23.tv/BV17U4y1b7T2
【原神】核爆大招，T1物理主C！0命优菈测评+配装阵容攻略丨优菈使用体验简评,赫箩的苹果,2021-05-19 21:31:47,34.8,989弹幕,原神&游戏&手机游戏&原神UP主激励计划&攻略&优菈&米哈游&赫箩的苹果&原神攻略&优菈攻略,2.7万,9649,3940,1404,https://b23.tv/BV1ih411v79C
什么是宗师？成仙入魔，开宗立派！【罗云熙】,倩女幽魂手游菌,2021-05-20 01:42:48,36.7,2303弹幕,罗云熙&游戏&手机游戏&五月哔刷片·五月新片&古装&武侠&颜值&男神&明星&演员&片花&花絮,1.6万,7268,6689,1472,https://b23.tv/BV16y4y1W7AE
狂风达摩！  无人存活！,手折余弦丶&樱井飞鸟,2021-05-21 18:10:09,35.2,311弹幕,盲僧&英雄联盟&搞笑&游戏&电子竞技&游戏知识分享官&游戏视频&精彩集锦&沙雕&美式鬼畜&游戏头号玩家,2.8万,1.0万,3859,1655,https://b23.tv/BV1J64y1d7Xp
【中国网游史】2020中国游戏公司财报分析（新兴企业篇）,芒果冰OL,2021-05-19 12:00:08,46.7,5837弹幕,财经&游戏&网络游戏&游戏知识分享官&游戏资讯&游戏杂谈&莉莉丝&心动&米哈游&b站&叠纸&鹰角,3.7万,1.6万,6312,1495,https://b23.tv/BV1vA411g7XT
【大仙全家桶】李信再次加强！甄姬优化好看到炸！海报票选女神，你心动哪个？,指法芬芳张大仙,2021-05-19 19:21:11,43.0,2385弹幕,张大仙&王者荣耀&游戏&电子竞技&五五开黑节-游戏赛道&手机游戏&游戏视频&直播录像&电竞&MOBA&王者荣耀张大仙,3.3万,1823,997,405,https://b23.tv/BV1s64y1y7q9
【CSGO】总之就是非常Carry,废物弟弟汉堡包,2021-05-20 19:00:11,28.5,1891弹幕,CS:GO&搞笑&游戏&电子竞技&CSGO激励计划&CSGO&CS&游戏视频&娱乐&电竞,2.6万,1.4万,3653,733,https://b23.tv/BV17V411j78C
不充值一样玩，那我咋玩啊？,绀野灬木绵季,2021-05-19 12:31:25,64.3,453弹幕,旭旭宝宝&DNF&游戏&手机游戏&网络游戏,1.3万,609,1563,6704,https://b23.tv/BV1no4y11763
【赛事晚自习124】用细节告诉你RNG连胜DK究竟赢在哪！GALA“逛街操作”其实博弈拉满？RNG vs DK细节复盘,LPL战术小黑板,2021-05-19 22:52:56,38.4,1262弹幕,MSI&LCK&RNG&LPL&英雄联盟&游戏&电子竞技&游戏知识分享官&游戏赛事&DK&GALA&XIAOHU&细节复盘,3.0万,4153,1129,274,https://b23.tv/BV1Fq4y1E7D6
纯黑《生化危机8》伊森竟是我岳父 第八期（完）,-纯黑-,2021-05-20 18:58:45,30.3,5199弹幕,游戏&单机游戏&恐怖&纯黑&生化危机8,2.3万,1.0万,3661,287,https://b23.tv/BV1764y1y75K
我的世界 籽岷 植物大战僵尸 模组,籽岷,2021-05-21 23:39:54,18.2,1139弹幕,植物大战僵尸&我的世界&搞笑&游戏&单机游戏&游戏心动时刻&模组&MINECRAFT&PVZ&MC&打卡挑战&游戏头号玩家,4.5万,7191,3239,320,https://b23.tv/BV1oN411o7nk
外星肉虫也来地球参战了？肉乎乎蠕动的感觉真恶心啊！密集恐惧症快要犯了！动物战斗模拟器,薄海纸鱼,2021-05-19 19:15:40,48.9,2767弹幕,独立游戏&单机游戏&游戏&沙雕游戏集&沙雕之主&实况攻略&中文字幕&实况解说&薄海纸鱼&搞笑游戏&动物战斗模拟器,1.5万,2097,1669,77,https://b23.tv/BV1qh411v7rX
周瑜小乔520新皮肤优化完成！新版特效预览！整体变化非常大！,包子入侵SSR,2021-05-19 19:37:11,51.8,1147弹幕,王者荣耀&游戏&电子竞技&周瑜&新皮肤&周瑜新皮肤&小乔音你心动&周瑜音你心动&小乔&小乔新皮肤&皮肤优化,1.5万,198,483,4624,https://b23.tv/BV1wv411L75W
【老胡】超级离谱的玩法！把游客虐出翔？？？？,老胡盘哟西,2021-05-19 14:48:52,32.3,87弹幕,独立游戏&必剪创作&搞笑&单机游戏&游戏&游戏知识分享官&新人&杂谈&单机联机&沙雕&游戏鉴赏家&打卡挑战,3.3万,197,3714,527,https://b23.tv/BV12V411j79N
王者欢乐秀：是爱吗，是责任吗，不好意思这把晋级赛！,无敌皮皮鸟,2021-05-19 18:35:40,33.4,709弹幕,鲁班七号&游戏集锦&王者荣耀&搞笑&游戏&电子竞技&游戏知识分享官&手机游戏&无敌皮皮鸟&嬴政&王者欢乐秀,3.3万,1126,1108,316,https://b23.tv/BV1VV411j7LA
【真人GTA】崔 佛 老 年,神奇的老皮VFX,2021-05-21 14:34:03,25.6,1296弹幕,GTA&游戏&单机游戏&全程高能&侠盗猎车手&特效&女装&广场大妈&广州,3.0万,9077,2725,1190,https://b23.tv/BV1kV411j7cy
【原神】优菈的那根剑要炸了！！0命优菈综合测评，炸出奇迹的大宝剑,卡特亚,2021-05-21 11:00:07,31.1,1121弹幕,游戏&手机游戏&原神UP主激励计划&优菈&0命优菈综合测评&卡特亚,2.5万,4408,1821,1378,https://b23.tv/BV1GN411Z7xM
【超级小桀】有狗哥还想跑？都给我留在这！,超级小桀的日常,2021-05-19 20:27:15,30.5,1445弹幕,游戏集锦&搞笑&单机游戏&游戏&日常&主机游戏&娱乐&游戏视频&单机联机&超级小桀&超级马里奥制造2,2.4万,7650,1915,343,https://b23.tv/BV1wK4y1P7AR
生化危机8到底讲了什么？35分钟带你解读《生化危机8》主线梗概及剧情疑点---怪侃第121期,自然卷阿怪,2021-05-21 13:47:40,22.0,2221弹幕,游戏&单机游戏&游戏知识分享官&克里斯&丧尸&生化危机&伊森&病毒&生化危机7&八尺大人&生化危机8,1.7万,1.3万,5464,510,https://b23.tv/BV1n64y1d7Cq
腐败骑士:你一直在闪避，根本没停过！,巅峰计划,2021-05-19 18:53:17,26.3,1207弹幕,危机合约&明日方舟&游戏&手机游戏&明日方舟-静谧小镇&近卫&打卡挑战&游戏头号玩家,2.8万,3616,3408,1236,https://b23.tv/BV1yb4y1f7Nm
这打仗呢！灭霸干嘛来了？！,小南QAQ,2021-05-22 08:58:05,28.7,821弹幕,搞笑&游戏&网络游戏&沙雕游戏集&沙雕之主&穿越火线&电子竞技&解说&游戏视频&小南&CF,3.5万,4055,1495,159,https://b23.tv/BV1r5411u7n9
主播炸了素材库162：TheShy塔刀全都憋吃 RNG拆家险遭管泽元做法,聚印象视频,2021-05-19 18:32:02,40.2,1355弹幕,MSI&RNG&英雄联盟&搞笑&游戏&电子竞技&游戏知识分享官&精彩集锦&TheShy&管泽元&主播炸了&lol,1.8万,1731,753,346,https://b23.tv/BV1FK4y1R7R8
“四烧流铠爹”出纯肉，一打四还能反杀，就离谱,尴尬的铁根er,2021-05-20 18:00:06,38.6,446弹幕,王者荣耀&游戏&电子竞技&原创&铠,1.8万,1254,1359,295,https://b23.tv/BV12y4y1W7q3
全英雄基础属性之最：一级攻击力和生命值最高的竟是同一人！,布锅锅,2021-05-21 18:05:27,33.1,1545弹幕,冷知识&英雄联盟&科普&游戏&电子竞技&游戏知识分享官&盘点排行&趣闻&教学&攻略&盘点&版本&lol,2.2万,3385,1675,581,https://b23.tv/BV14K4y197Jk
点进来！我来告诉你优菈的身材数据 ↑ ↑,最上川下山,2021-05-21 18:27:47,25.1,311弹幕,原神&游戏&手机游戏&原神UP主激励计划&优菈&安柏&蒙德&西风骑士团,2.3万,3036,4146,2875,https://b23.tv/BV1s54y1V74J
【原神】好消息！刻晴终于加强了！！坏消息：……,初晨凪,2021-05-20 23:42:03,45.5,602弹幕,原神&游戏&手机游戏&游戏知识分享官&刻晴&刻师傅&崩坏3rd×原神&开放世界&米哈游&崩坏三&打卡挑战&崩坏三联动原神,9019,368,1233,9143,https://b23.tv/BV1bK4y1976W
【SLOG】喷出来的不是水，是血压,STN工作室,2021-05-19 21:05:54,22.3,1356弹幕,小游戏&搞笑&游戏&手机游戏&试玩&手游&休闲&网易游戏&网易520派对气氛组,2.3万,8129,3652,417,https://b23.tv/BV1Ef4y1Y78p
这个游戏有点顶！,中国BOY超级大猩猩,2021-05-18 18:25:19,76.2,7708弹幕,独立游戏&单机游戏&游戏&游戏心动时刻&音乐游戏&单机&中国BOY&实况&单机联机,6.6万,1.4万,9888,931,https://b23.tv/BV1wU4y1L7JL
【危机合约】“光谱行动”8号竞技场+日替图 全关卡低配平民攻略！阵容平民+低练度+语音详解的愉悦攻略！《明日方舟》（更新中）|魔法Zc目录 镀层,魔法Zc目录,2021-05-16 12:07:58,226.3,6492弹幕,危机合约&明日方舟&游戏&手机游戏&光谱行动&8号竞技场&18&魔法Zc目录&镀层,9.6万,8.3万,3.9万,8280,https://b23.tv/BV14Q4y1o7qP
【OIP】Here we are.,Onmyoji-Idol,2021-05-20 20:12:22,24.2,570弹幕,阴阳师&游戏&手机游戏&手游&网易&OIP&Onmyoji Idol Project&宣传片&网易游戏&代号：OIP,1.5万,4653,5274,6494,https://b23.tv/BV19b4y1f7CT
漫改IP手游为何光速猝死？孩子，这个你真把握不住~,亚食人,2021-05-20 18:14:52,25.6,1809弹幕,火影忍者手游&游戏&手机游戏&火影忍者手游五周年庆典&火影忍者疾风传&火影忍者&IP&火影&火影手游,1.9万,1954,1873,371,https://b23.tv/BV1zo4y1m7NH
【阴阳师】新SSR阿修罗 实战测评：比大蛇还高的攻击面板，魂土，困28双重就业！大大降低魂土难度！,小琨爱小蛊,2021-05-19 11:56:39,30.0,6703弹幕,阴阳师&游戏&手机游戏&阴阳师天域&阿修罗&阴阳师手游&网易阴阳师手游&帝释天&阴阳师阿修罗,2.3万,2.1万,7343,4283,https://b23.tv/BV1aK4y1G7TL
王者荣耀小石奶凶：不是的牙膏你听我解释....,王者荣耀小石奶凶,2021-05-20 19:30:41,39.8,203弹幕,王者荣耀&游戏&电子竞技&小石奶凶&膏地保安&牙膏光信,1.5万,391,584,51,https://b23.tv/BV1jQ4y1R73q
互动视频,战双帕弥什,2021-05-20 18:00:06,14.0,1302弹幕,战双帕弥什&互动视频&游戏&手机游戏&手游&ARPG&二次元&3D动作&末世科幻&战双,1.9万,9705,4349,1333,https://b23.tv/BV1Zo4y1y7mn
【脑叶图鉴】来自黑森林的巨大怪物，终末鸟（第18期）,桐学罗,2021-05-21 18:05:05,14.0,1908弹幕,单机游戏&游戏&游戏知识分享官&天启鸟&脑叶公司&惩戒鸟&审判鸟&终末鸟,2.0万,1.1万,4973,233,https://b23.tv/BV1V64y1y7rZ
我的MC变得奇怪了起来！！3,--圈圈--,2021-05-18 20:08:24,39.2,3963弹幕,独立游戏&我的世界&搞笑&游戏&单机游戏&动画&MC&MINECRAFT&解说,4.5万,2.0万,6714,504,https://b23.tv/BV1eN411Z7ho
转发这个视频去恶心你身边抽到了优菈的朋友,无量塔-姫子&程小幻,2021-05-18 18:30:01,41.8,667弹幕,原神&游戏&手机游戏&原神UP主激励计划&舞蹈&优菈,2.0万,2298,4158,6147,https://b23.tv/BV1VV411j7Bq
《原神》拾枝杂谈-「优菈：浪涌霜潮」,原神,2021-05-18 18:00:06,81.0,7845弹幕,原神&游戏&手机游戏&优菈&米哈游&miHoYo&玉扉绕尘歌,6.3万,1.0万,6406,2446,https://b23.tv/BV1Sy4y1W7JQ
如果能让镜反了野，压制力肯定大于老虎，这个方法很重要。,王者荣耀李皓辰,2021-05-20 17:47:38,24.3,149弹幕,王者荣耀&游戏&电子竞技&镜&教学视频&游戏视频&李皓辰*,2.1万,3791,1159,925,https://b23.tv/BV1Jo4y117am
帮粉丝圆梦积攒5个月的原石加上首充挑战满命优菈！,棉花大哥哥,2021-05-20 20:09:17,29.5,4275弹幕,原神&游戏&手机游戏&原神UP主激励计划&氪金&优菈&棉花大哥哥,1.6万,1839,874,3110,https://b23.tv/BV1UB4y1F7Df
